date,FX level,FX log returns,FX log returns (t+1),Intraday spread,Bid-ask spread,Bid-ask spread abs value,Forward points first difference,Interbank rate vs Libor,VIX first diff,EURUSD log returns
2001-01-03,9.836,124.80980430392984,-141.29445670785606,0.16249999999999964,79.99999999999119,79.99999999999119,0.0,12.346250000000001,-3.389999999999997,17.03900450105398
2001-01-04,9.698,-141.29445670785606,56.552513067173216,0.06850000000000023,45.000000000001705,45.000000000001705,-70.0,12.993749999999999,0.36999999999999744,12.287916854063791
2001-01-05,9.753,56.552513067173216,-63.773102374649355,0.03500000000000014,75.00000000000284,75.00000000000284,-35.0,12.36375,1.7000000000000028,-73.95501612502355
2001-01-08,9.691,-63.773102374649355,56.59324668901356,0.042500000000000426,37.49999999999254,37.49999999999254,-90.0,12.204999999999998,1.1699999999999982,19.01502759667982
2001-01-09,9.746,56.59324668901356,70.03939574451621,0.0779999999999994,44.99999999999282,44.99999999999282,85.0,12.04375,-1.8500000000000014,98.29946827982869
2001-01-10,9.8145,70.03939574451621,31.02828095322759,0.03999999999999915,60.000000000002274,60.000000000002274,10.0,11.974999999999998,-1.1899999999999977,-1.8812905708758696
2001-01-11,9.845,31.02828095322759,32.95731212319691,0.0365000000000002,57.49999999999922,57.49999999999922,5.0,12.022499999999999,-1.0100000000000016,-97.36807084668736
2001-01-17,9.88,-92.68653901535072,5.059448628037495,0.046499999999999986,65.00000000001727,65.00000000001727,10.0,13.28875,-0.3500000000000014,112.27662855677677
2001-01-18,9.885,5.059448628037495,-96.57000080161245,0.09250000000000114,44.99999999999282,44.99999999999282,-25.0,13.21875,-1.5599999999999987,-149.98406388390006
2001-01-19,9.79,-96.57000080161245,-5.108556943793109,0.03999999999999915,30.000000000001137,30.000000000001137,-30.0,13.20375,-0.13000000000000256,99.61552161685
2001-01-22,9.785,-5.108556943793109,-17.388640396360763,0.08249999999999957,49.99999999999005,49.99999999999005,-10.0,13.05,0.010000000000001563,-2.805704951769947
2001-01-23,9.767999999999999,-17.388640396360763,-78.10933854124126,0.03549999999999898,44.99999999999282,44.99999999999282,52.5,12.8625,-1.6799999999999997,-41.24103698893654
2001-01-24,9.692,-78.10933854124126,-5.160225100312993,0.04800000000000004,59.99999999999339,59.99999999999339,-52.5,12.73375,0.46000000000000085,175.9576189037944
2001-01-25,9.687000000000001,-5.160225100312993,10.317788781612782,0.03700000000000081,25.000000000003908,25.000000000003908,-110.0,12.67625,0.6099999999999994,29.487673412526235
2001-01-26,9.697000000000001,10.317788781612782,-28.399575021932545,0.01550000000000118,45.000000000001705,45.000000000001705,0.0,12.48625,-0.07000000000000028,-19.34147506020845
